1221 faults | 1350 avg.
1211 faults | 1278 avg.
1209 faults | 1237 avg.
1198 faults | 1219 avg.
1194 faults | 1210 avg.
1188 faults | 1204 avg.
1185 faults | 1198 avg.
1178 faults | 1193 avg.
1174 faults | 1189 avg.
1173 faults | 1183 avg.
1168 faults | 1178 avg.
1160 faults | 1173 avg.
1153 faults | 1167 avg.
1146 faults | 1160 avg.
1134 faults | 1154 avg.
1130 faults | 1148 avg.
1124 faults | 1142 avg.
1123 faults | 1134 avg.
1120 faults | 1130 avg.
1112 faults | 1125 avg.
1109 faults | 1120 avg.
1105 faults | 1115 avg.
1101 faults | 1110 avg.
1099 faults | 1107 avg.
1097 faults | 1104 avg.
1091 faults | 1101 avg.
1083 faults | 1098 avg.
1080 faults | 1093 avg.
1077 faults | 1089 avg.
1066 faults | 1084 avg.
1061 faults | 1079 avg.
1059 faults | 1073 avg.
1056 faults | 1066 avg.
1054 faults | 1062 avg.
1051 faults | 1059 avg.
1051 faults | 1056 avg.
1048 faults | 1053 avg.
1046 faults | 1051 avg.
1041 faults | 1049 avg.
1037 faults | 1047 avg.
1034 faults | 1044 avg.
1033 faults | 1042 avg.
1033 faults | 1039 avg.
1029 faults | 1036 avg.
1029 faults | 1034 avg.
1027 faults | 1033 avg.
1020 faults | 1030 avg.
1019 faults | 1028 avg.
1016 faults | 1024 avg.
1007 faults | 1021 avg.
1007 faults | 1018 avg.
1005 faults | 1015 avg.
1005 faults | 1012 avg.
1002 faults | 1009 avg.
1002 faults | 1007 avg.
1001 faults | 1005 avg.
997 faults | 1004 avg.
994 faults | 1002 avg.
993 faults | 1000 avg.
986 faults | 997 avg.
984 faults | 995 avg.
983 faults | 991 avg.
983 faults | 988 avg.
983 faults | 987 avg.
981 faults | 986 avg.
981 faults | 985 avg.
977 faults | 984 avg.
977 faults | 983 avg.
974 faults | 981 avg.
970 faults | 979 avg.
970 faults | 977 avg.
968 faults | 974 avg.
967 faults | 972 avg.
964 faults | 970 avg.
964 faults | 969 avg.
963 faults | 968 avg.
958 faults | 967 avg.
958 faults | 966 avg.
957 faults | 965 avg.
956 faults | 963 avg.
955 faults | 962 avg.
952 faults | 959 avg.
951 faults | 957 avg.
950 faults | 956 avg.
950 faults | 955 avg.
945 faults | 953 avg.
943 faults | 951 avg.
942 faults | 950 avg.
942 faults | 948 avg.
940 faults | 945 avg.
935 faults | 944 avg.
934 faults | 942 avg.
934 faults | 940 avg.
931 faults | 938 avg.
930 faults | 936 avg.
930 faults | 935 avg.
930 faults | 934 avg.
928 faults | 934 avg.
928 faults | 933 avg.
928 faults | 932 avg.
928 faults | 932 avg.
928 faults | 931 avg.
926 faults | 931 avg.
926 faults | 931 avg.
925 faults | 930 avg.
924 faults | 929 avg.
924 faults | 928 avg.
924 faults | 927 avg.
923 faults | 927 avg.
923 faults | 927 avg.
923 faults | 926 avg.
923 faults | 926 avg.
923 faults | 926 avg.
921 faults | 926 avg.
921 faults | 925 avg.
921 faults | 924 avg.
919 faults | 924 avg.
918 faults | 924 avg.
918 faults | 923 avg.
918 faults | 922 avg.
918 faults | 921 avg.
916 faults | 921 avg.
916 faults | 921 avg.
916 faults | 921 avg.
916 faults | 921 avg.
909 faults | 920 avg.
906 faults | 920 avg.
906 faults | 917 avg.
903 faults | 913 avg.
903 faults | 909 avg.
903 faults | 908 avg.
903 faults | 907 avg.
903 faults | 907 avg.
901 faults | 906 avg.
900 faults | 906 avg.
896 faults | 904 avg.
896 faults | 903 avg.
896 faults | 903 avg.
896 faults | 901 avg.
896 faults | 900 avg.
896 faults | 899 avg.
893 faults | 899 avg.
892 faults | 897 avg.
890 faults | 896 avg.
890 faults | 895 avg.
888 faults | 893 avg.
886 faults | 893 avg.
885 faults | 893 avg.
884 faults | 891 avg.
884 faults | 890 avg.
883 faults | 889 avg.
880 faults | 887 avg.
879 faults | 886 avg.
879 faults | 885 avg.
879 faults | 883 avg.
877 faults | 882 avg.
872 faults | 882 avg.
872 faults | 882 avg.
867 faults | 879 avg.
866 faults | 876 avg.
865 faults | 873 avg.
864 faults | 870 avg.
863 faults | 869 avg.
863 faults | 868 avg.
863 faults | 867 avg.
861 faults | 866 avg.
861 faults | 866 avg.
860 faults | 865 avg.
860 faults | 865 avg.
860 faults | 864 avg.
860 faults | 864 avg.
860 faults | 864 avg.
860 faults | 864 avg.
859 faults | 864 avg.
859 faults | 863 avg.
858 faults | 863 avg.
858 faults | 863 avg.
858 faults | 862 avg.
856 faults | 862 avg.
856 faults | 862 avg.
856 faults | 861 avg.
856 faults | 861 avg.
856 faults | 861 avg.
854 faults | 860 avg.
853 faults | 859 avg.
853 faults | 858 avg.
853 faults | 857 avg.
853 faults | 857 avg.
853 faults | 857 avg.
853 faults | 857 avg.
852 faults | 856 avg.
852 faults | 856 avg.
852 faults | 856 avg.
850 faults | 856 avg.
850 faults | 855 avg.
850 faults | 855 avg.
850 faults | 855 avg.
850 faults | 854 avg.
850 faults | 854 avg.
848 faults | 853 avg.
848 faults | 853 avg.
848 faults | 853 avg.
848 faults | 852 avg.
848 faults | 852 avg.
847 faults | 851 avg.
847 faults | 851 avg.
847 faults | 851 avg.
845 faults | 850 avg.
845 faults | 850 avg.
845 faults | 850 avg.
845 faults | 849 avg.
845 faults | 849 avg.
844 faults | 848 avg.
844 faults | 848 avg.
844 faults | 848 avg.
844 faults | 848 avg.
844 faults | 848 avg.
843 faults | 847 avg.
843 faults | 847 avg.
843 faults | 847 avg.
843 faults | 847 avg.
843 faults | 846 avg.
843 faults | 846 avg.
842 faults | 846 avg.
842 faults | 846 avg.
842 faults | 846 avg.
842 faults | 846 avg.
842 faults | 846 avg.
842 faults | 845 avg.
840 faults | 845 avg.
840 faults | 845 avg.
839 faults | 844 avg.
839 faults | 843 avg.
838 faults | 843 avg.
838 faults | 843 avg.
838 faults | 842 avg.
838 faults | 842 avg.
838 faults | 842 avg.
837 faults | 841 avg.
837 faults | 841 avg.
837 faults | 841 avg.
837 faults | 841 avg.
837 faults | 841 avg.
836 faults | 841 avg.
836 faults | 840 avg.
836 faults | 840 avg.
836 faults | 840 avg.
836 faults | 840 avg.
836 faults | 840 avg.
836 faults | 840 avg.
836 faults | 839 avg.
835 faults | 839 avg.
835 faults | 839 avg.
835 faults | 839 avg.
835 faults | 839 avg.
835 faults | 839 avg.
834 faults | 839 avg.
833 faults | 838 avg.
832 faults | 837 avg.
832 faults | 837 avg.
832 faults | 837 avg.
832 faults | 836 avg.
832 faults | 836 avg.
832 faults | 835 avg.
830 faults | 835 avg.
830 faults | 835 avg.
830 faults | 835 avg.
827 faults | 835 avg.
827 faults | 835 avg.
826 faults | 833 avg.
826 faults | 833 avg.
826 faults | 832 avg.
826 faults | 831 avg.
823 faults | 830 avg.
819 faults | 828 avg.
818 faults | 827 avg.
818 faults | 826 avg.
818 faults | 824 avg.
816 faults | 823 avg.
816 faults | 822 avg.
816 faults | 822 avg.
815 faults | 821 avg.
814 faults | 820 avg.
814 faults | 820 avg.
814 faults | 820 avg.
814 faults | 819 avg.
814 faults | 819 avg.
814 faults | 819 avg.
814 faults | 819 avg.
814 faults | 819 avg.
814 faults | 818 avg.
814 faults | 818 avg.
814 faults | 818 avg.
814 faults | 818 avg.
814 faults | 818 avg.
813 faults | 818 avg.
813 faults | 818 avg.
811 faults | 817 avg.
810 faults | 817 avg.
810 faults | 817 avg.
809 faults | 816 avg.
809 faults | 815 avg.
809 faults | 815 avg.
