2704 faults | 2688 avg.
2704 faults | 2182 avg.
2198 faults | 1772 avg.
1786 faults | 1615 avg.
1772 faults | 1602 avg.
1772 faults | 1580 avg.
1725 faults | 1564 avg.
1725 faults | 1554 avg.
1714 faults | 1551 avg.
1714 faults | 1546 avg.
1703 faults | 1544 avg.
1703 faults | 1538 avg.
1702 faults | 1537 avg.
1700 faults | 1526 avg.
1694 faults | 1519 avg.
1693 faults | 1519 avg.
1681 faults | 1511 avg.
1673 faults | 1503 avg.
1673 faults | 1500 avg.
1673 faults | 1489 avg.
1673 faults | 1483 avg.
1645 faults | 1475 avg.
1611 faults | 1471 avg.
1611 faults | 1466 avg.
1611 faults | 1462 avg.
1597 faults | 1454 avg.
1597 faults | 1446 avg.
1597 faults | 1446 avg.
1597 faults | 1442 avg.
1563 faults | 1423 avg.
1563 faults | 1413 avg.
1563 faults | 1398 avg.
1553 faults | 1385 avg.
1551 faults | 1383 avg.
1550 faults | 1381 avg.
1534 faults | 1371 avg.
1534 faults | 1366 avg.
1534 faults | 1359 avg.
1494 faults | 1355 avg.
1494 faults | 1354 avg.
1489 faults | 1347 avg.
1478 faults | 1346 avg.
1478 faults | 1346 avg.
1478 faults | 1342 avg.
1478 faults | 1334 avg.
1478 faults | 1322 avg.
1472 faults | 1311 avg.
1472 faults | 1295 avg.
1472 faults | 1282 avg.
1421 faults | 1272 avg.
1421 faults | 1267 avg.
1408 faults | 1262 avg.
1402 faults | 1250 avg.
1402 faults | 1246 avg.
1402 faults | 1238 avg.
1402 faults | 1233 avg.
1393 faults | 1229 avg.
1359 faults | 1215 avg.
1359 faults | 1211 avg.
1359 faults | 1209 avg.
1359 faults | 1199 avg.
1359 faults | 1196 avg.
1359 faults | 1193 avg.
1339 faults | 1186 avg.
1339 faults | 1183 avg.
1323 faults | 1176 avg.
1320 faults | 1170 avg.
1320 faults | 1167 avg.
1300 faults | 1167 avg.
1300 faults | 1154 avg.
1292 faults | 1137 avg.
1292 faults | 1132 avg.
1290 faults | 1123 avg.
1235 faults | 1107 avg.
1235 faults | 1104 avg.
1235 faults | 1096 avg.
1235 faults | 1085 avg.
1226 faults | 1079 avg.
1209 faults | 1069 avg.
1209 faults | 1066 avg.
1206 faults | 1054 avg.
1204 faults | 1049 avg.
1194 faults | 1046 avg.
1170 faults | 1038 avg.
1168 faults | 1031 avg.
1168 faults | 1031 avg.
1162 faults | 1028 avg.
1155 faults | 1028 avg.
1154 faults | 1023 avg.
1154 faults | 1022 avg.
1154 faults | 1012 avg.
1129 faults | 1005 avg.
1129 faults | 1004 avg.
1129 faults | 1000 avg.
1129 faults | 998 avg.
1120 faults | 987 avg.
1109 faults | 985 avg.
1099 faults | 980 avg.
1099 faults | 973 avg.
1099 faults | 967 avg.
1099 faults | 950 avg.
1099 faults | 945 avg.
1041 faults | 937 avg.
1041 faults | 920 avg.
1041 faults | 914 avg.
1022 faults | 905 avg.
1008 faults | 895 avg.
1008 faults | 892 avg.
1007 faults | 889 avg.
1007 faults | 883 avg.
1002 faults | 882 avg.
1002 faults | 876 avg.
988 faults | 874 avg.
988 faults | 871 avg.
988 faults | 871 avg.
984 faults | 866 avg.
984 faults | 859 avg.
967 faults | 856 avg.
964 faults | 854 avg.
964 faults | 849 avg.
955 faults | 843 avg.
955 faults | 837 avg.
940 faults | 836 avg.
936 faults | 826 avg.
922 faults | 819 avg.
922 faults | 806 avg.
922 faults | 783 avg.
912 faults | 765 avg.
880 faults | 757 avg.
868 faults | 755 avg.
858 faults | 753 avg.
858 faults | 747 avg.
856 faults | 745 avg.
856 faults | 744 avg.
856 faults | 741 avg.
840 faults | 739 avg.
840 faults | 734 avg.
833 faults | 732 avg.
812 faults | 722 avg.
812 faults | 715 avg.
812 faults | 702 avg.
800 faults | 696 avg.
800 faults | 694 avg.
800 faults | 686 avg.
800 faults | 684 avg.
772 faults | 677 avg.
759 faults | 676 avg.
759 faults | 671 avg.
759 faults | 667 avg.
754 faults | 658 avg.
749 faults | 658 avg.
749 faults | 654 avg.
749 faults | 654 avg.
749 faults | 654 avg.
740 faults | 653 avg.
722 faults | 651 avg.
722 faults | 649 avg.
722 faults | 647 avg.
722 faults | 647 avg.
722 faults | 647 avg.
722 faults | 644 avg.
722 faults | 643 avg.
722 faults | 643 avg.
722 faults | 643 avg.
722 faults | 639 avg.
722 faults | 639 avg.
722 faults | 639 avg.
717 faults | 639 avg.
717 faults | 639 avg.
717 faults | 637 avg.
717 faults | 635 avg.
717 faults | 634 avg.
717 faults | 629 avg.
717 faults | 627 avg.
717 faults | 627 avg.
711 faults | 627 avg.
709 faults | 626 avg.
707 faults | 626 avg.
707 faults | 626 avg.
707 faults | 622 avg.
705 faults | 622 avg.
705 faults | 620 avg.
705 faults | 619 avg.
693 faults | 615 avg.
693 faults | 613 avg.
693 faults | 613 avg.
693 faults | 610 avg.
693 faults | 610 avg.
686 faults | 610 avg.
686 faults | 606 avg.
686 faults | 604 avg.
686 faults | 604 avg.
678 faults | 602 avg.
678 faults | 600 avg.
678 faults | 599 avg.
674 faults | 599 avg.
674 faults | 597 avg.
667 faults | 597 avg.
667 faults | 596 avg.
667 faults | 596 avg.
