1196 faults | 1358 avg.
1173 faults | 1278 avg.
1169 faults | 1215 avg.
1168 faults | 1186 avg.
1161 faults | 1176 avg.
1160 faults | 1168 avg.
1152 faults | 1163 avg.
1148 faults | 1159 avg.
1144 faults | 1154 avg.
1142 faults | 1150 avg.
1136 faults | 1146 avg.
1132 faults | 1141 avg.
1132 faults | 1137 avg.
1128 faults | 1134 avg.
1128 faults | 1132 avg.
1120 faults | 1129 avg.
1117 faults | 1126 avg.
1113 faults | 1122 avg.
1110 faults | 1117 avg.
1107 faults | 1113 avg.
1106 faults | 1110 avg.
1101 faults | 1108 avg.
1099 faults | 1105 avg.
1097 faults | 1102 avg.
1095 faults | 1101 avg.
1087 faults | 1098 avg.
1086 faults | 1095 avg.
1079 faults | 1091 avg.
1075 faults | 1087 avg.
1074 faults | 1083 avg.
1073 faults | 1081 avg.
1063 faults | 1077 avg.
1054 faults | 1073 avg.
1053 faults | 1067 avg.
1050 faults | 1059 avg.
1048 faults | 1054 avg.
1046 faults | 1052 avg.
1045 faults | 1050 avg.
1042 faults | 1047 avg.
1040 faults | 1046 avg.
1040 faults | 1044 avg.
1039 faults | 1042 avg.
1038 faults | 1041 avg.
1035 faults | 1040 avg.
1035 faults | 1038 avg.
1033 faults | 1037 avg.
1032 faults | 1035 avg.
1030 faults | 1034 avg.
1029 faults | 1032 avg.
1029 faults | 1031 avg.
1027 faults | 1030 avg.
1023 faults | 1030 avg.
1023 faults | 1028 avg.
1021 faults | 1027 avg.
1016 faults | 1024 avg.
1016 faults | 1022 avg.
1014 faults | 1019 avg.
1013 faults | 1017 avg.
1010 faults | 1015 avg.
1008 faults | 1014 avg.
1005 faults | 1012 avg.
1005 faults | 1010 avg.
1000 faults | 1008 avg.
998 faults | 1006 avg.
995 faults | 1003 avg.
989 faults | 999 avg.
987 faults | 995 avg.
987 faults | 991 avg.
984 faults | 990 avg.
982 faults | 988 avg.
975 faults | 987 avg.
973 faults | 985 avg.
973 faults | 981 avg.
972 faults | 976 avg.
971 faults | 974 avg.
968 faults | 973 avg.
968 faults | 972 avg.
966 faults | 971 avg.
966 faults | 969 avg.
965 faults | 968 avg.
961 faults | 966 avg.
959 faults | 965 avg.
958 faults | 963 avg.
957 faults | 961 avg.
956 faults | 960 avg.
954 faults | 958 avg.
953 faults | 957 avg.
952 faults | 955 avg.
950 faults | 954 avg.
950 faults | 953 avg.
950 faults | 952 avg.
947 faults | 951 avg.
946 faults | 950 avg.
945 faults | 949 avg.
945 faults | 948 avg.
944 faults | 947 avg.
944 faults | 946 avg.
943 faults | 945 avg.
943 faults | 945 avg.
943 faults | 944 avg.
