1175 faults | 1350 avg.
1175 faults | 1277 avg.
1147 faults | 1231 avg.
1147 faults | 1199 avg.
1147 faults | 1180 avg.
1129 faults | 1168 avg.
1129 faults | 1157 avg.
1108 faults | 1147 avg.
1103 faults | 1139 avg.
1098 faults | 1131 avg.
1095 faults | 1123 avg.
1095 faults | 1117 avg.
1077 faults | 1112 avg.
1077 faults | 1107 avg.
1075 faults | 1102 avg.
1071 faults | 1096 avg.
1067 faults | 1091 avg.
1066 faults | 1087 avg.
1061 faults | 1082 avg.
1059 faults | 1078 avg.
1055 faults | 1073 avg.
1041 faults | 1069 avg.
1041 faults | 1065 avg.
1040 faults | 1059 avg.
1035 faults | 1055 avg.
1034 faults | 1051 avg.
1034 faults | 1047 avg.
1032 faults | 1047 avg.
1019 faults | 1043 avg.
1018 faults | 1040 avg.
1018 faults | 1037 avg.
1018 faults | 1034 avg.
1015 faults | 1032 avg.
1010 faults | 1029 avg.
1005 faults | 1026 avg.
1005 faults | 1022 avg.
997 faults | 1017 avg.
997 faults | 1015 avg.
997 faults | 1011 avg.
994 faults | 1009 avg.
987 faults | 1006 avg.
987 faults | 1003 avg.
987 faults | 1001 avg.
975 faults | 1000 avg.
975 faults | 998 avg.
975 faults | 996 avg.
973 faults | 992 avg.
973 faults | 989 avg.
973 faults | 988 avg.
973 faults | 986 avg.
969 faults | 984 avg.
962 faults | 982 avg.
950 faults | 979 avg.
950 faults | 974 avg.
949 faults | 969 avg.
940 faults | 965 avg.
931 faults | 959 avg.
931 faults | 953 avg.
931 faults | 948 avg.
931 faults | 947 avg.
931 faults | 947 avg.
931 faults | 945 avg.
926 faults | 944 avg.
925 faults | 941 avg.
925 faults | 937 avg.
925 faults | 936 avg.
921 faults | 933 avg.
915 faults | 932 avg.
911 faults | 931 avg.
911 faults | 929 avg.
911 faults | 925 avg.
911 faults | 925 avg.
903 faults | 923 avg.
903 faults | 919 avg.
898 faults | 917 avg.
898 faults | 915 avg.
897 faults | 912 avg.
897 faults | 911 avg.
897 faults | 909 avg.
897 faults | 908 avg.
889 faults | 908 avg.
889 faults | 907 avg.
889 faults | 905 avg.
889 faults | 905 avg.
886 faults | 903 avg.
886 faults | 902 avg.
884 faults | 901 avg.
884 faults | 899 avg.
876 faults | 899 avg.
868 faults | 898 avg.
862 faults | 894 avg.
862 faults | 890 avg.
862 faults | 885 avg.
862 faults | 882 avg.
862 faults | 879 avg.
862 faults | 877 avg.
862 faults | 874 avg.
862 faults | 874 avg.
862 faults | 874 avg.
862 faults | 874 avg.
862 faults | 872 avg.
859 faults | 871 avg.
859 faults | 871 avg.
859 faults | 871 avg.
859 faults | 869 avg.
859 faults | 869 avg.
857 faults | 869 avg.
857 faults | 869 avg.
857 faults | 868 avg.
857 faults | 867 avg.
857 faults | 867 avg.
855 faults | 866 avg.
855 faults | 866 avg.
855 faults | 865 avg.
853 faults | 865 avg.
853 faults | 864 avg.
847 faults | 864 avg.
847 faults | 862 avg.
847 faults | 862 avg.
847 faults | 861 avg.
847 faults | 860 avg.
847 faults | 859 avg.
847 faults | 859 avg.
844 faults | 859 avg.
844 faults | 858 avg.
844 faults | 858 avg.
844 faults | 858 avg.
844 faults | 858 avg.
844 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 856 avg.
843 faults | 855 avg.
843 faults | 855 avg.
843 faults | 855 avg.
843 faults | 855 avg.
843 faults | 855 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
843 faults | 854 avg.
841 faults | 854 avg.
841 faults | 854 avg.
841 faults | 854 avg.
841 faults | 854 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
841 faults | 852 avg.
840 faults | 852 avg.
840 faults | 852 avg.
840 faults | 852 avg.
840 faults | 852 avg.
840 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
839 faults | 852 avg.
837 faults | 852 avg.
837 faults | 852 avg.
837 faults | 852 avg.
837 faults | 852 avg.
837 faults | 852 avg.
837 faults | 852 avg.
837 faults | 852 avg.
837 faults | 852 avg.
837 faults | 852 avg.
837 faults | 852 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 851 avg.
837 faults | 850 avg.
837 faults | 850 avg.
837 faults | 850 avg.
837 faults | 850 avg.
837 faults | 850 avg.
837 faults | 850 avg.
837 faults | 850 avg.
837 faults | 850 avg.
837 faults | 850 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
837 faults | 849 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
836 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 848 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
835 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 847 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 846 avg.
833 faults | 845 avg.
833 faults | 845 avg.
833 faults | 845 avg.
833 faults | 845 avg.
833 faults | 845 avg.
833 faults | 845 avg.
833 faults | 845 avg.
833 faults | 845 avg.
833 faults | 845 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
833 faults | 844 avg.
